arrival_time_us,cpu_burst_duration_us,io_burst_duration_us,nice,weight,scheduling_class,cpu_request
1168760242,1456797,0,19,15,0,0.005196
1168771835,1360842,0,19,15,0,0.006165
1168788863,1335391,0,19,15,0,0.004051
1168990751,1145298,0,19,15,0,0.012955
1169076501,1563738,0,19,15,0,0.020172
1169076501,1535278,0,19,15,0,0.005989
1170445672,66730398,0,19,15,0,0.003170
1171004532,5613637,0,19,15,0,0.002026
1171349298,3408048,0,19,15,0,0.008987
1171630630,1217208,0,19,15,0,0.005669
1171630631,1781453,0,19,15,0,0.019897
1171636451,5568959,0,19,15,0,0.007843
1171636452,5736412,0,19,15,0,0.007393
1171636452,5797066,0,19,15,0,0.012146
1171683176,5474683,0,19,15,0,0.005898
1171683176,5455265,0,19,15,0,0.008636
1171683176,5454352,0,19,15,0,0.002026
1171683176,5455663,0,19,15,0,0.004051
1171683176,5468921,0,19,15,0,0.007843
1171683177,5688256,0,19,15,0,0.004753
1172613584,2196888,0,19,15,0,0.004402
1172613584,2520297,0,19,15,0,0.004135
1172613902,1690436,0,19,15,0,0.005196
1172669886,1055462,0,19,15,0,0.008102
1172669886,1570751,0,19,15,0,0.003696
1172669887,1450990,0,19,15,0,0.015396
1172669887,1930162,0,19,15,0,0.009949
1172669887,1634851,0,19,15,0,0.002377
1172670353,1010383,0,19,15,0,0.003345
1172670353,1001863,0,19,15,0,0.010040
1172670354,1056881,0,19,15,0,0.016205
1172670354,1001863,0,19,15,0,0.005020
1172846551,1007000,0,19,15,0,0.032410
1173102756,1308296,0,19,15,0,0.008194
1173102756,1539099,0,19,15,0,0.008102
1173102757,1211232,0,19,15,0,0.008102
1173102757,1209304,0,19,15,0,0.004051
1173102906,1253935,0,19,15,0,0.040833
1173297756,1344099,0,19,15,0,0.006958
1173297756,1230458,0,19,15,0,0.006691
1173297756,1050057,0,19,15,0,0.020782
1173297756,1343946,0,19,15,0,0.012146
1173297756,1005247,0,19,15,0,0.000352
1173297757,986876,0,19,15,0,0.003433
1173297757,1108350,0,19,15,0,0.003696
1173423452,1515751,0,19,15,0,0.031677
1173423452,986332,0,19,15,0,0.007217
1173423452,1304225,0,19,15,0,0.006783
1173464522,1263465,0,19,15,0,0.003521
1173798681,980740,0,19,15,0,0.020172
1173798681,3356731,0,19,15,0,0.006958
1173798681,1433537,0,19,15,0,0.003433
1173798681,3403313,0,19,15,0,0.005669
1174420966,1260989,0,19,15,0,0.021057
1175242902,1025862,0,19,15,0,0.006248
1175628470,1096598,0,19,15,0,0.008713
1175628471,956792,0,19,15,0,0.006958
1175670781,1804203,0,19,15,0,0.018768
1175670781,1510203,0,19,15,0,0.008636
1175670781,1111773,0,19,15,0,0.003696
1175670781,1764835,0,19,15,0,0.005196
1175687341,951633,0,19,15,0,0.007576
1175929399,5583309,0,19,15,0,0.031158
1175929399,5604174,0,19,15,0,0.005020
1175929399,5607516,0,19,15,0,0.021851
1175929400,5612383,0,19,15,0,0.002289
1175978037,14106331,0,19,15,0,0.003170
1175978037,2370105,0,19,15,0,0.002731
1175978037,14109915,0,19,15,0,0.003082
1175978037,14109914,0,19,15,0,0.003960
1175978037,4416958,0,19,15,0,0.004135
1175978038,63609751,0,19,15,0,0.028717
1175978038,98947229,0,19,15,0,0.033630
1175978038,13966484,0,19,15,0,0.046936
1175978038,64104364,0,19,15,0,0.004669
1175978038,4830162,0,19,15,0,0.009949
1175978038,14791724,0,19,15,0,0.003696
1175978038,6353784,0,19,15,0,0.003960
1175978038,5668224,0,19,15,0,0.004051
1175978038,4418202,0,19,15,0,0.003696
1175978038,6856979,0,19,15,0,0.018677
1175978039,6515467,0,19,15,0,0.004318
1175978039,4893495,0,19,15,0,0.005104
1175978039,8405434,0,19,15,0,0.004051
1175978039,7079854,0,19,15,0,0.008194
1175978040,9663724,0,19,15,0,0.029053
1175978040,14115532,0,19,15,0,0.008545
1175978040,9724770,0,19,15,0,0.007217
1175978040,5540365,0,19,15,0,0.004494
1175978040,8465713,0,19,15,0,0.006248
1175978040,5558872,0,19,15,0,0.018127
1175978040,65337444,0,19,15,0,0.001347
1175978040,9150702,0,19,15,0,0.002026
1175978040,9331398,0,19,15,0,0.003345
1175978040,5537946,0,19,15,0,0.007576
1175978041,4894911,0,19,15,0,0.009155
1175978041,14105457,0,19,15,0,0.024475
